session	block	trial3	side	ecc	tarDur	sigma	soa	tedfTOn	tedfSac	tedfTOf	PeakLum	sacRT	sacOnset	sacOffset	sacDur	sacVPeak	sacDist	sacxOnset	sacyOnset	sacxOffset	sacyOffset	errorChange	largerAmp	blink	id	id_n	plf	sacXresp	gain	tarX	tarX_s	sacXresp_s	sacErr	session_number
small	3	8	1	10	0.8	0.300000598707988	0.77	784	1073	1602	145.9493	279	279	325	47	529.9624	10.5838	0.916562025580676	-0.164848002957207	10.7379620255807	0.147751997042793	-8.1218	0	0	ml	0	146	10.8276097765332	1.08276097765332	10	10	9.8214	0.752607868567202	1
small	3	9	-1	7	0.8	0.90937556752528	0.71	717	960	1534	57.34494	231	231	285	55	485.5188	7.6639	-0.676384677455227	0.342778139314581	-7.36818467745523	0.334778139314581	-5.7096	1	0	ml	0	57	7.3927370863122	1.0561052980446	7	-7	-6.6918	0.497630745910803	1
small	3	10	-1	10	0.8	1.51875053634257	0.5	517	734	1334	50.44071	206	206	260	55	499.008	9.9156	-0.888331603490979	0.157010029945064	-9.81803160349098	0.279810029945064	-8.9274	1	0	ml	0	50	9.78672336508006	0.978672336508006	10	-10	-8.9297	0.333775598547769	1
small	3	11	1	9	0.8	0.90937556752528	0.63	650	874	1468	57.34494	213	213	244	32	478.0245	8.7862	0.742821248406473	-0.0744523551174679	8.10092124840647	0.574547644882532	-7.3215	0	0	ml	0	57	8.03227567134852	0.89247507459428	9	9	7.3581	1.06698059860854	1
small	3	12	1	6	0.8	0.90937556752528	0.68	684	934	1501	57.34494	240	240	273	34	426.1156	4.9772	0.813673879166278	-0.151109039824089	5.24497387916628	0.447090960175911	-4.4491	1	0	ml	0	57	5.13893076655456	0.856488461092427	6	6	4.4313	0.877470666069377	1
small	3	13	1	9	0.8	0.300000598707988	0.76	768	973	1585	145.9493	194	194	247	54	554.5303	9.316	0.9617262897137	-0.429360048025662	9.1639262897137	0.389339951974338	-7.3131	0	0	ml	0	146	9.19781205611902	1.02197911734656	9	9	8.2022	0.422442216951241	1
small	3	14	-1	8	0.8	0.300000598707988	0.62	634	842	1452	145.9493	195	195	251	57	505.7619	8.8727	-0.314621519029872	-0.394305403473254	-8.47232151902987	-0.170105403473254	-6.8827	0	0	ml	0	146	8.47795474031541	1.05974434253943	8	-8	-8.1577	0.50201938770279	1
small	3	15	1	10	0.8	0.90937556752528	0.59	601	829	1418	57.34494	216	216	271	56	550.7364	10.3795	0.0115304538530979	-0.198245129818554	9.5647304538531	0.506254870181446	-9.255	0	0	ml	0	57	9.57608684756568	0.957608684756568	10	10	9.5532	0.667647789920226	1
small	3	16	1	8	0.8	0.90937556752528	0.72	734	963	1552	57.34494	219	219	256	38	503.9981	7.3303	0.807082209276307	-0.661679250614292	7.45168220927631	0.048220749385708	-6.6373	0	0	ml	0	57	7.40283541765312	0.92535442720664	8	8	6.6446	0.550434047180432	1
small	3	17	-1	8	0.8	0.90937556752528	0.65	667	901	1485	57.34494	219	219	274	56	494.1205	8.0059	-0.249666251850372	-0.0604077893146506	-7.54816625185037	0.586492210685349	-7.3185	1	0	ml	0	57	7.52170664468091	0.940213330585113	8	-8	-7.2985	0.740355893581952	1
